                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0897,                 0.7741,                 1.3624,                0.86626,                0.77249,                0.86998,                0.50809,                 1.5041,                0.88528,                 1.7787,             0.00066483,             0.00066483,             0.00066483
                      1,                 1.1709,                0.88846,                  1.422,                0.76505,                0.73089,                0.80743,                0.45237,                 1.5928,                 1.0427,                 1.8564,              0.0013182,              0.0013182,              0.0013182
                      2,                 1.2306,                0.96569,                 1.4658,                 0.7859,                0.71843,                0.79061,                0.41489,                 1.6952,                 1.1472,                 1.9819,              0.0019582,              0.0019582,              0.0019582
                      3,                 1.2774,                 1.0165,                 1.5035,                0.77649,                0.78135,                0.83664,                0.48425,                 1.5149,                0.98189,                   1.76,              0.0019401,              0.0019401,              0.0019401
                      4,                  1.286,                 1.0456,                 1.5034,                0.80566,                0.75433,                0.82504,                0.47186,                  1.524,                 1.0417,                 1.7595,              0.0019401,              0.0019401,              0.0019401
                      5,                 1.3039,                 1.0594,                 1.5192,                0.84911,                0.73089,                0.82447,                0.46519,                 1.6001,                 1.0756,                 1.8412,              0.0019201,              0.0019201,              0.0019201
                      6,                 1.2897,                 1.0268,                 1.5073,                0.81091,                0.78035,                0.83604,                0.45862,                 1.6195,                0.99965,                 1.8764,              0.0019001,              0.0019001,              0.0019001
                      7,                  1.288,                   1.04,                 1.5098,                0.82985,                0.77217,                0.84783,                 0.4765,                  1.546,                 0.9532,                 1.8181,              0.0018801,              0.0018801,              0.0018801
                      8,                 1.2641,                0.98785,                 1.4873,                0.82483,                0.77064,                0.84925,                0.49001,                 1.5131,                    nan,                  1.765,              0.0018601,              0.0018601,              0.0018601
                      9,                 1.2634,                 1.0008,                 1.4894,                0.79185,                0.79969,                0.85342,                0.48868,                 1.4875,                 0.9719,                  1.738,              0.0018402,              0.0018402,              0.0018402
                     10,                 1.2432,                0.98526,                 1.4762,                 0.8099,                  0.763,                0.82614,                0.46907,                 1.6206,                 1.0058,                 1.8826,              0.0018202,              0.0018202,              0.0018202
                     11,                 1.2559,                0.96411,                  1.483,                0.81258,                  0.763,                0.84128,                 0.4778,                 1.5575,                0.95294,                  1.807,              0.0018002,              0.0018002,              0.0018002
                     12,                 1.2479,                0.95777,                 1.4836,                0.77139,                0.78423,                0.83588,                0.46706,                 1.5351,                 1.0074,                 1.7853,              0.0017802,              0.0017802,              0.0017802
                     13,                 1.2268,                0.94618,                 1.4597,                0.82971,                0.75535,                0.84427,                0.48347,                  1.539,                0.94022,                 1.8145,              0.0017602,              0.0017602,              0.0017602
                     14,                 1.2211,                0.92904,                 1.4605,                0.85601,                0.78135,                0.85928,                0.50665,                 1.5363,                0.90244,                  1.805,              0.0017403,              0.0017403,              0.0017403
                     15,                 1.1992,                0.91614,                 1.4506,                0.84579,                0.78135,                0.86415,                0.49826,                 1.5292,                0.89689,                  1.792,              0.0017203,              0.0017203,              0.0017203
                     16,                 1.2067,                0.93354,                 1.4488,                0.80085,                0.78746,                0.86095,                0.49481,                 1.5013,                0.91716,                 1.7545,              0.0017003,              0.0017003,              0.0017003
                     17,                 1.2179,                0.92421,                 1.4495,                0.82047,                0.75469,                0.83889,                0.46144,                 1.5683,                0.98714,                 1.8201,              0.0016803,              0.0016803,              0.0016803
                     18,                 1.2152,                0.91664,                 1.4417,                0.84614,                0.78204,                 0.8537,                0.49419,                 1.5379,                0.94242,                 1.7823,              0.0016603,              0.0016603,              0.0016603
                     19,                 1.1884,                0.88748,                 1.4263,                0.86996,                 0.7737,                0.85524,                0.49849,                 1.5197,                 0.9389,                 1.8007,              0.0016404,              0.0016404,              0.0016404
                     20,                 1.1834,                0.88724,                 1.4336,                0.82728,                0.77829,                0.85741,                0.49208,                 1.5283,                 0.9202,                 1.7841,              0.0016204,              0.0016204,              0.0016204
                     21,                 1.1868,                0.89306,                 1.4247,                0.84108,                0.82569,                0.88008,                0.50719,                 1.5328,                0.86295,                 1.7744,              0.0016004,              0.0016004,              0.0016004
                     22,                  1.157,                 0.8805,                 1.4153,                 0.7664,                0.77759,                0.82815,                0.47714,                 1.5398,                    nan,                  1.789,              0.0015804,              0.0015804,              0.0015804
                     23,                 1.1773,                0.87893,                 1.4272,                0.83004,                0.76606,                0.85052,                0.48806,                 1.5488,                    nan,                 1.7946,              0.0015604,              0.0015604,              0.0015604
                     24,                 1.1677,                0.87981,                 1.4176,                0.82352,                0.79913,                0.85918,                0.50651,                 1.5125,                0.91008,                 1.7739,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.1724,                0.87727,                 1.4269,                0.81429,                 0.7777,                0.84617,                0.48748,                 1.5444,                0.92014,                 1.7969,              0.0015205,              0.0015205,              0.0015205
                     26,                 1.1663,                0.84168,                 1.4173,                0.82369,                 0.7844,                0.85498,                 0.5053,                 1.5407,                    nan,                 1.8155,              0.0015005,              0.0015005,              0.0015005
                     27,                  1.131,                0.84884,                 1.4006,                0.82311,                 0.7737,                0.84971,                0.48591,                  1.525,                    nan,                 1.7828,              0.0014805,              0.0014805,              0.0014805
                     28,                 1.1392,                0.84797,                 1.3957,                0.83587,                0.77873,                0.87252,                0.51108,                 1.5131,                0.87535,                 1.7786,              0.0014605,              0.0014605,              0.0014605
                     29,                 1.1455,                0.85093,                 1.3988,                0.84631,                 0.8104,                 0.8737,                0.51769,                 1.4919,                0.83232,                 1.8029,              0.0014406,              0.0014406,              0.0014406
                     30,                 1.1317,                0.83152,                 1.3905,                0.81675,                0.81098,                0.87269,                0.50912,                 1.5237,                0.86992,                 1.7804,              0.0014206,              0.0014206,              0.0014206
                     31,                 1.1238,                0.82403,                 1.3866,                0.86084,                0.78593,                0.87059,                0.51055,                 1.5198,                0.84206,                 1.8068,              0.0014006,              0.0014006,              0.0014006
                     32,                 1.1128,                0.81761,                 1.3821,                0.85081,                 0.7761,                0.86092,                0.50366,                 1.5557,                0.89821,                 1.8387,              0.0013806,              0.0013806,              0.0013806
                     33,                    1.1,                0.81308,                 1.3839,                0.81073,                0.83028,                0.87374,                0.50286,                 1.4924,                0.83936,                 1.7679,              0.0013606,              0.0013606,              0.0013606
                     34,                 1.1116,                0.80794,                 1.3754,                0.80309,                0.82941,                0.87106,                 0.5033,                 1.5254,                    nan,                 1.8033,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.0945,                0.80216,                 1.3674,                0.86518,                0.80464,                0.88604,                0.52256,                 1.5031,                0.81806,                 1.7903,              0.0013207,              0.0013207,              0.0013207
                     36,                  1.093,                 0.7985,                 1.3727,                0.85692,                0.79511,                0.87569,                0.50766,                 1.5179,                0.83128,                 1.7945,              0.0013007,              0.0013007,              0.0013007
                     37,                  1.086,                0.77498,                 1.3553,                0.84402,                0.82263,                0.89144,                0.51391,                 1.5058,                0.84893,                 1.7898,              0.0012807,              0.0012807,              0.0012807
                     38,                 1.0733,                0.76446,                  1.351,                0.84444,                0.82875,                0.88244,                0.51388,                 1.5373,                0.83361,                 1.8139,              0.0012607,              0.0012607,              0.0012607
                     39,                 1.0539,                0.76737,                 1.3362,                0.81379,                0.82722,                0.86893,                0.49241,                 1.5299,                0.84012,                 1.8085,              0.0012408,              0.0012408,              0.0012408
                     40,                 1.0545,                0.74564,                 1.3395,                0.82574,                0.81346,                0.85472,                0.49775,                 1.5196,                0.84804,                  1.832,              0.0012208,              0.0012208,              0.0012208
                     41,                  1.048,                0.75331,                 1.3364,                0.82763,                 0.8296,                0.87561,                0.51276,                 1.5155,                0.84331,                 1.8001,              0.0012008,              0.0012008,              0.0012008
                     42,                 1.0433,                0.74242,                 1.3392,                0.81863,                0.81193,                0.87654,                0.51464,                 1.5205,                    nan,                 1.8063,              0.0011808,              0.0011808,              0.0011808
                     43,                 1.0245,                0.73593,                 1.3221,                0.80661,                0.82272,                0.87026,                0.52109,                 1.5173,                    nan,                 1.7986,              0.0011608,              0.0011608,              0.0011608
                     44,                 1.0229,                0.71088,                 1.3223,                0.83545,                0.78409,                  0.866,                0.51122,                 1.5305,                0.82899,                 1.8154,              0.0011409,              0.0011409,              0.0011409
                     45,                 1.0251,                0.71321,                  1.324,                0.87615,                0.78962,                0.86855,                0.51455,                 1.5178,                0.82175,                 1.8246,              0.0011209,              0.0011209,              0.0011209
                     46,                 1.0197,                  0.712,                 1.3233,                0.86829,                0.79664,                0.87177,                0.50952,                 1.5168,                    nan,                 1.8367,              0.0011009,              0.0011009,              0.0011009
                     47,                0.99699,                0.71037,                 1.3065,                0.82163,                0.84251,                0.87814,                 0.5028,                 1.5169,                0.80566,                 1.8291,              0.0010809,              0.0010809,              0.0010809
                     48,                  1.016,                0.71274,                  1.313,                0.82467,                 0.8055,                0.86685,                0.51155,                 1.5028,                0.80949,                 1.8081,              0.0010609,              0.0010609,              0.0010609
                     49,                0.98986,                0.69718,                 1.2981,                 0.8686,                0.80864,                0.88696,                0.51315,                 1.5038,                0.80197,                 1.8311,               0.001041,               0.001041,               0.001041
                     50,                 1.0006,                0.70366,                 1.3025,                0.85312,                 0.8318,                0.88555,                0.51625,                 1.5122,                0.80324,                 1.8671,               0.001021,               0.001021,               0.001021
                     51,                0.98386,                0.68008,                 1.2971,                0.84625,                 0.7911,                0.87962,                0.52255,                  1.511,                0.84697,                 1.8324,               0.001001,               0.001001,               0.001001
                     52,                0.96523,                0.68923,                 1.2825,                0.87153,                0.81498,                0.88196,                 0.5236,                 1.5193,                0.79811,                  1.823,             0.00098102,             0.00098102,             0.00098102
                     53,                0.97183,                0.68094,                 1.2861,                0.85722,                0.81804,                0.88026,                0.51415,                 1.5222,                0.78305,                 1.8641,             0.00096104,             0.00096104,             0.00096104
                     54,                0.98492,                0.68045,                 1.2959,                0.86742,                0.81957,                0.88569,                0.51861,                 1.5114,                0.78401,                 1.8257,             0.00094106,             0.00094106,             0.00094106
                     55,                0.96722,                0.67129,                 1.2849,                0.85345,                0.79205,                0.86294,                 0.5067,                 1.5268,                0.85282,                 1.8247,             0.00092108,             0.00092108,             0.00092108
                     56,                0.96081,                0.67247,                 1.2876,                0.85032,                0.79917,                0.86776,                0.51757,                 1.5412,                0.79845,                 1.8629,              0.0009011,              0.0009011,              0.0009011
                     57,                 0.9555,                0.66677,                 1.2658,                0.90391,                0.77675,                0.87901,                0.50682,                  1.534,                0.82832,                 1.8608,             0.00088112,             0.00088112,             0.00088112
                     58,                0.95996,                 0.6638,                 1.2725,                0.84202,                0.82313,                0.87618,                0.50647,                 1.5301,                0.79889,                 1.8243,             0.00086114,             0.00086114,             0.00086114
                     59,                0.93415,                0.64369,                 1.2574,                0.84113,                0.84196,                0.88071,                0.49524,                 1.5796,                 0.8234,                  1.913,             0.00084116,             0.00084116,             0.00084116
