                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.7109,                0.52985,                 1.1326,                0.82657,                 0.7739,                0.84109,                0.53791,                 1.3461,                0.80216,                 1.7544,              0.0093466,              0.0093466,              0.0093466
                     35,                0.71766,                0.53813,                  1.137,                0.82531,                0.77057,                0.83254,                0.53469,                 1.3283,                0.81608,                 1.7625,              0.0093268,              0.0093268,              0.0093268
                     36,                0.71314,                0.53618,                 1.1309,                0.80099,                0.80652,                0.84447,                0.53111,                 1.3427,                 0.8132,                 1.8053,               0.009307,               0.009307,               0.009307
                     37,                0.70229,                0.52881,                 1.1278,                0.78631,                0.81542,                 0.8271,                0.53098,                 1.3457,                0.81904,                 1.7824,              0.0092872,              0.0092872,              0.0092872
                     38,                0.70622,                0.52878,                 1.1316,                0.79934,                0.79312,                0.82387,                0.52816,                 1.3193,                0.82431,                 1.7715,              0.0092674,              0.0092674,              0.0092674
                     39,                0.69938,                0.52109,                 1.1215,                0.81435,                0.73025,                0.80602,                0.50493,                 1.3946,                0.91142,                 1.7991,              0.0092476,              0.0092476,              0.0092476
                     40,                0.70844,                0.53326,                 1.1335,                0.81037,                0.77873,                0.84064,                0.53306,                 1.3387,                0.84428,                 1.7441,              0.0092278,              0.0092278,              0.0092278
                     41,                0.70247,                0.52135,                 1.1295,                0.85319,                0.74526,                0.85353,                0.55965,                 1.2921,                0.80838,                 1.6916,               0.009208,               0.009208,               0.009208
                     42,                0.69304,                0.52507,                 1.1173,                0.82278,                0.76249,                0.85115,                0.54856,                 1.3207,                0.81046,                 1.7516,              0.0091882,              0.0091882,              0.0091882
                     43,                0.70526,                0.53846,                 1.1305,                0.84637,                 0.7829,                0.84878,                0.54494,                 1.3441,                0.78303,                 1.7687,              0.0091684,              0.0091684,              0.0091684
                     44,                0.69426,                0.51842,                  1.119,                0.78645,                0.79753,                0.83206,                0.52478,                 1.3628,                 0.8236,                 1.8078,              0.0091486,              0.0091486,              0.0091486
                     45,                0.68629,                0.52829,                 1.1154,                0.83277,                0.77053,                0.84945,                0.54951,                 1.3156,                0.78934,                 1.7447,              0.0091288,              0.0091288,              0.0091288
                     46,                0.68033,                0.51302,                 1.1085,                0.81078,                0.80008,                0.84364,                0.54348,                 1.3283,                0.79423,                 1.7732,               0.009109,               0.009109,               0.009109
                     47,                0.69643,                0.52965,                 1.1286,                0.84141,                0.76828,                0.83411,                0.53635,                 1.3202,                0.81867,                 1.7623,              0.0090892,              0.0090892,              0.0090892
                     48,                0.68473,                0.51885,                 1.1157,                0.77956,                0.79415,                0.82404,                0.52434,                 1.3589,                0.88785,                 1.7877,              0.0090694,              0.0090694,              0.0090694
                     49,                0.68243,                0.51839,                 1.1118,                0.82997,                0.77503,                0.84362,                 0.5359,                 1.3594,                0.82977,                 1.7848,              0.0090496,              0.0090496,              0.0090496
                     50,                0.69595,                0.51815,                 1.1248,                0.84273,                0.78361,                0.84793,                0.53587,                 1.3534,                0.81203,                  1.761,              0.0090298,              0.0090298,              0.0090298
