                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7955,                 2.1608,                 2.0253,                0.16593,                 0.3685,                0.16255,                0.04244,                 2.4885,                 24.997,                 3.7393,             0.00066298,             0.00066298,             0.00066298
                      1,                 2.0727,                 2.4227,                 2.2066,                0.06242,                0.40367,                0.04696,                0.01561,                 2.4016,                 18.354,                 3.0278,              0.0013165,              0.0013165,              0.0013165
                      2,                 1.9384,                 2.2346,                 2.0788,                0.18238,                0.35627,                0.15026,                0.05846,                 2.1734,                 3.0737,                 2.4482,              0.0019568,              0.0019568,              0.0019568
                      3,                 1.8632,                 2.1159,                 1.9996,                0.39602,                0.46789,                 0.4261,                 0.1722,                 2.0912,                 2.3552,                  2.322,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.7957,                 1.9928,                 1.9369,                0.55333,                 0.5171,                 0.5275,                0.23105,                 1.9153,                 1.9631,                 2.1886,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7507,                  1.899,                 1.8963,                0.57528,                0.48879,                0.47866,                0.20399,                 1.9828,                 2.1109,                 2.2721,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.7029,                  1.833,                 1.8574,                0.57736,                0.54587,                0.58217,                0.28346,                 1.8851,                 1.7975,                 2.0946,               0.001901,               0.001901,               0.001901
                      7,                 1.6867,                 1.7665,                 1.8351,                0.64501,                 0.5501,                0.59061,                0.26192,                 1.9004,                 1.7625,                 2.1464,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6748,                 1.7467,                 1.8268,                0.65689,                0.57034,                 0.6383,                0.29117,                 1.8168,                 1.6682,                 2.0624,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.6428,                 1.6833,                 1.8019,                 0.6344,                0.53823,                0.61737,                0.30416,                 1.7344,                 1.8274,                 1.9995,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.6077,                 1.6389,                 1.7719,                0.69098,                0.61009,                0.67748,                0.35022,                  1.729,                 1.5529,                  1.956,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.6169,                 1.6209,                 1.7723,                0.62091,                0.58103,                 0.6393,                0.31985,                 1.7483,                 1.6013,                 1.9835,               0.001802,               0.001802,               0.001802
                     12,                 1.5736,                 1.5592,                 1.7476,                0.67425,                0.62691,                0.68286,                0.34681,                 1.7413,                  1.455,                 1.9763,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.5749,                 1.5694,                 1.7514,                0.65325,                0.65443,                0.66536,                0.34123,                 1.7601,                 1.5324,                 2.0022,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.5483,                 1.5331,                 1.7268,                0.67787,                0.64832,                0.69331,                0.36523,                 1.6399,                 1.4141,                 1.9217,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5356,                 1.5029,                 1.7096,                0.70578,                 0.6682,                0.73754,                0.39424,                 1.6416,                 1.3002,                 1.8771,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5319,                 1.4775,                 1.7165,                0.71249,                 0.6682,                0.71969,                0.38715,                 1.6743,                 1.3819,                 1.9508,               0.001703,               0.001703,               0.001703
                     17,                 1.5021,                 1.4349,                 1.6936,                0.69153,                0.68196,                0.74154,                0.38679,                 1.6662,                 1.3041,                 1.9059,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.5138,                 1.4006,                 1.6881,                0.75839,                0.65749,                0.75104,                0.40547,                 1.6061,                 1.3029,                 1.8523,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5074,                 1.4121,                 1.6918,                0.70475,                0.66361,                0.73168,                0.40409,                 1.5791,                 1.2781,                 1.8553,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4944,                 1.4142,                 1.6898,                0.63965,                0.59021,                0.66853,                0.36463,                 1.5939,                 1.3928,                 1.8565,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.4733,                 1.3758,                 1.6646,                 0.7711,                0.66449,                 0.7488,                0.39037,                 1.6621,                 1.2962,                 1.9186,               0.001604,               0.001604,               0.001604
                     22,                 1.4841,                 1.3894,                 1.6782,                0.76796,                0.64985,                0.75503,                0.42258,                 1.5586,                 1.2538,                 1.8133,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.4437,                 1.3252,                 1.6461,                0.74507,                0.69715,                0.77847,                0.42777,                 1.5267,                 1.2017,                 1.7798,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4692,                  1.357,                 1.6594,                0.75944,                0.66131,                0.77102,                0.41176,                 1.5929,                 1.2394,                 1.8248,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4378,                 1.3005,                 1.6415,                0.75917,                0.67961,                0.78848,                0.43923,                 1.5436,                  1.176,                 1.8114,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.4466,                 1.2948,                 1.6444,                0.71699,                0.71663,                0.76549,                 0.4142,                 1.6067,                 1.2095,                 1.9118,               0.001505,               0.001505,               0.001505
                     27,                 1.4225,                 1.2814,                 1.6255,                0.72822,                0.69241,                0.77209,                0.43027,                 1.5439,                 1.1649,                 1.8136,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4053,                 1.2667,                 1.6106,                0.76317,                 0.6682,                 0.7584,                0.39975,                 1.6462,                 1.2146,                 1.8761,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4178,                 1.2486,                 1.6102,                0.70986,                0.69725,                0.77114,                0.42301,                 1.5636,                 1.2125,                 1.7864,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4198,                 1.2572,                 1.6142,                0.77611,                0.68378,                 0.7882,                0.42994,                 1.5188,                 1.1921,                 1.7781,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3976,                 1.2199,                 1.5928,                 0.7605,                0.76712,                0.82333,                0.46881,                 1.5349,                 1.0289,                 1.7908,               0.001406,               0.001406,               0.001406
                     32,                  1.392,                 1.1999,                 1.5934,                0.78998,                0.74159,                0.82503,                0.47666,                 1.5149,                  1.052,                 1.7486,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3952,                  1.203,                 1.5932,                0.79741,                0.75231,                0.82916,                0.46598,                 1.5026,                 1.0496,                 1.7742,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3756,                 1.2011,                 1.5762,                0.81951,                0.70813,                0.82117,                0.46844,                 1.4901,                 1.0784,                 1.7459,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3891,                 1.1712,                 1.5803,                0.78591,                0.79143,                0.84331,                   0.49,                 1.4836,                0.98223,                 1.7503,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3589,                 1.1712,                 1.5757,                0.81336,                  0.733,                 0.8158,                0.46504,                  1.532,                 1.0522,                 1.7987,               0.001307,               0.001307,               0.001307
                     37,                  1.355,                 1.1375,                 1.5661,                0.78177,                0.77829,                0.83726,                0.47774,                 1.4889,                0.98675,                 1.7556,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3549,                 1.1319,                 1.5648,                0.74514,                0.79205,                0.82375,                0.46199,                 1.5532,                 1.0379,                 1.7821,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3473,                  1.128,                 1.5548,                0.80084,                0.75011,                0.82951,                0.47397,                 1.4964,                 1.0221,                 1.7441,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3403,                 1.1151,                 1.5515,                0.81579,                 0.7156,                0.81778,                0.47189,                 1.4742,                  1.016,                 1.7205,              0.0012278,              0.0012278,              0.0012278
