                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.5547,                 1.6415,                 1.8159,                0.69374,                0.67194,                0.71836,                0.38063,                 1.6357,                 1.3285,                 1.9351,              0.0013606,              0.0013606,              0.0013606
                     34,                 1.5574,                 1.6522,                 1.8323,                0.77923,                0.64985,                0.76351,                0.41367,                 1.6054,                 1.2664,                 1.9254,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.5571,                 1.6471,                 1.8223,                0.79371,                0.68834,                0.77394,                  0.423,                 1.6002,                 1.2004,                 1.8932,              0.0013207,              0.0013207,              0.0013207
                     36,                 1.5617,                 1.6356,                 1.8154,                0.75648,                0.69266,                0.77733,                0.44521,                 1.5182,                 1.2091,                 1.8257,              0.0013007,              0.0013007,              0.0013007
                     37,                 1.5382,                 1.5978,                 1.8139,                0.77563,                0.71407,                 0.7977,                0.44966,                 1.5419,                 1.1884,                 1.8347,              0.0012807,              0.0012807,              0.0012807
                     38,                 1.5407,                 1.5917,                 1.8137,                0.72815,                0.71865,                0.78922,                0.45374,                 1.4897,                 1.1739,                 1.7923,              0.0012607,              0.0012607,              0.0012607
                     39,                 1.5518,                 1.5812,                 1.8077,                0.76196,                0.65749,                 0.7663,                0.42616,                 1.5044,                  1.267,                 1.8063,              0.0012408,              0.0012408,              0.0012408
                     40,                 1.5355,                 1.5934,                 1.8029,                0.81399,                 0.6789,                0.79607,                0.45796,                 1.4824,                 1.1761,                 1.7874,              0.0012208,              0.0012208,              0.0012208
                     41,                 1.5309,                 1.5695,                 1.8003,                0.79791,                0.72018,                0.81559,                0.46908,                 1.4638,                 1.1314,                 1.7678,              0.0012008,              0.0012008,              0.0012008
                     42,                  1.525,                 1.5577,                  1.791,                 0.8089,                0.70642,                 0.7964,                0.45342,                 1.4859,                   1.13,                 1.8131,              0.0011808,              0.0011808,              0.0011808
                     43,                 1.5301,                  1.557,                 1.7918,                0.80994,                0.71023,                0.81194,                0.46807,                 1.5194,                 1.0939,                 1.8142,              0.0011608,              0.0011608,              0.0011608
                     44,                 1.5068,                 1.5311,                 1.7827,                0.78223,                0.72324,                0.80786,                0.45539,                 1.5227,                 1.1417,                 1.7987,              0.0011409,              0.0011409,              0.0011409
