                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3611,                 1.1704,                  1.583,                0.78736,                0.70771,                0.82115,                0.45771,                   1.53,                 1.0894,                 1.7817,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.3729,                 1.1525,                 1.5837,                0.81557,                0.74379,                0.82563,                0.46761,                 1.5223,                 1.0282,                 1.7832,              0.0013207,              0.0013207,              0.0013207
                     36,                 1.3572,                 1.1442,                  1.565,                0.77837,                0.75229,                0.82637,                0.46608,                 1.5102,                 1.0283,                 1.7611,              0.0013007,              0.0013007,              0.0013007
                     37,                 1.3356,                 1.1228,                 1.5519,                0.78395,                0.72682,                0.81012,                0.45646,                 1.5448,                 1.0695,                 1.8271,              0.0012807,              0.0012807,              0.0012807
                     38,                  1.343,                  1.119,                 1.5473,                0.82366,                0.78593,                0.84909,                 0.4923,                 1.4812,                 1.0256,                 1.7521,              0.0012607,              0.0012607,              0.0012607
                     39,                 1.3382,                 1.0855,                 1.5518,                0.79386,                0.75535,                0.83817,                0.48085,                 1.4901,                0.97824,                 1.7232,              0.0012408,              0.0012408,              0.0012408
                     40,                 1.3217,                  1.085,                 1.5361,                0.75152,                0.78157,                0.82478,                0.47613,                 1.5156,                 1.0201,                 1.7833,              0.0012208,              0.0012208,              0.0012208
                     41,                 1.3049,                 1.0605,                 1.5292,                0.78121,                0.78746,                0.84596,                0.48836,                 1.5038,                0.99361,                 1.7694,              0.0012008,              0.0012008,              0.0012008
                     42,                 1.3211,                 1.0697,                 1.5413,                 0.7903,                0.77676,                0.82982,                0.48161,                 1.4723,                0.99257,                 1.7323,              0.0011808,              0.0011808,              0.0011808
                     43,                 1.3041,                 1.0621,                 1.5299,                0.85362,                0.74618,                0.83629,                 0.4786,                 1.4711,                0.97752,                 1.7394,              0.0011608,              0.0011608,              0.0011608
                     44,                 1.3182,                 1.0635,                 1.5356,                0.81455,                0.77982,                0.86278,                0.49287,                 1.4815,                0.98588,                 1.7308,              0.0011409,              0.0011409,              0.0011409
                     45,                 1.2949,                 1.0394,                 1.5186,                0.79945,                0.78631,                0.84201,                0.48752,                 1.4955,                0.96696,                  1.772,              0.0011209,              0.0011209,              0.0011209
                     46,                 1.2989,                 1.0469,                  1.529,                0.80092,                0.78135,                0.85669,                0.50397,                 1.4529,                0.95881,                 1.7178,              0.0011009,              0.0011009,              0.0011009
                     47,                 1.2772,                 1.0235,                 1.5035,                0.80719,                0.77829,                0.85131,                 0.4946,                   1.46,                0.96512,                 1.6977,              0.0010809,              0.0010809,              0.0010809
                     48,                 1.2637,                 1.0106,                 1.4949,                0.79583,                0.78673,                0.84866,                0.49582,                  1.433,                0.98055,                 1.6973,              0.0010609,              0.0010609,              0.0010609
                     49,                 1.2571,                0.99864,                 1.4946,                0.82651,                0.79969,                0.85434,                0.49864,                 1.4777,                0.94781,                 1.7516,               0.001041,               0.001041,               0.001041
                     50,                 1.2707,                 1.0034,                 1.4963,                 0.8231,                0.78259,                0.86119,                0.50807,                 1.4595,                0.94878,                 1.7102,               0.001021,               0.001021,               0.001021
                     51,                 1.2434,                0.98121,                 1.4756,                0.79588,                0.80486,                0.85925,                0.50699,                  1.453,                0.96338,                 1.7135,               0.001001,               0.001001,               0.001001
                     52,                 1.2352,                0.97466,                 1.4696,                0.82248,                0.81346,                0.86901,                 0.5083,                 1.5051,                0.95413,                 1.7659,             0.00098102,             0.00098102,             0.00098102
                     53,                 1.2398,                0.95327,                 1.4723,                0.82086,                0.81275,                0.85688,                0.49631,                 1.4535,                0.90479,                 1.7072,             0.00096104,             0.00096104,             0.00096104
                     54,                 1.2259,                0.96261,                 1.4659,                 0.8545,                0.77523,                0.85823,                0.51638,                 1.4535,                0.91364,                 1.7133,             0.00094106,             0.00094106,             0.00094106
                     55,                  1.216,                  0.942,                 1.4528,                0.85288,                0.80665,                0.85282,                0.50656,                 1.4769,                0.86676,                 1.7385,             0.00092108,             0.00092108,             0.00092108
                     56,                 1.2254,                0.94658,                 1.4681,                0.86915,                0.75155,                0.86192,                0.51031,                 1.4506,                0.88286,                 1.7087,              0.0009011,              0.0009011,              0.0009011
                     57,                 1.2055,                0.92738,                 1.4442,                0.80062,                0.82263,                0.87053,                0.51456,                 1.4456,                0.87151,                 1.7262,             0.00088112,             0.00088112,             0.00088112
                     58,                 1.1978,                0.91633,                  1.443,                0.86482,                 0.7728,                0.87106,                 0.5181,                 1.4754,                0.85753,                  1.731,             0.00086114,             0.00086114,             0.00086114
                     59,                 1.1959,                0.90731,                 1.4414,                0.82333,                0.79094,                0.85591,                0.51059,                 1.4904,                0.87371,                 1.7476,             0.00084116,             0.00084116,             0.00084116
                     60,                 1.1846,                0.90175,                 1.4297,                0.80358,                0.82263,                0.87532,                0.51069,                 1.4814,                0.88651,                 1.7382,             0.00082118,             0.00082118,             0.00082118
                     61,                 1.1957,                0.89628,                 1.4394,                0.82082,                0.84404,                0.88143,                0.52032,                 1.4651,                0.83373,                 1.7409,              0.0008012,              0.0008012,              0.0008012
                     62,                 1.1765,                0.88992,                 1.4239,                0.81136,                0.83486,                0.88963,                0.52271,                 1.4501,                0.82513,                 1.7262,             0.00078122,             0.00078122,             0.00078122
                     63,                 1.1541,                0.87371,                 1.4132,                0.85784,                0.80271,                0.87908,                0.52615,                 1.4552,                0.81757,                  1.719,             0.00076124,             0.00076124,             0.00076124
                     64,                 1.1596,                0.86679,                  1.408,                0.82671,                0.81699,                0.87042,                0.51265,                 1.4713,                0.83756,                 1.7484,             0.00074126,             0.00074126,             0.00074126
                     65,                  1.147,                0.86035,                 1.3999,                0.83024,                0.80887,                0.86961,                0.52034,                 1.4539,                0.87939,                 1.7327,             0.00072128,             0.00072128,             0.00072128
                     66,                 1.1435,                0.85471,                 1.3988,                0.83662,                0.78287,                0.86938,                0.52683,                 1.4866,                0.83476,                 1.7577,              0.0007013,              0.0007013,              0.0007013
                     67,                 1.1219,                  0.822,                 1.3804,                0.78044,                0.82569,                0.86424,                 0.5152,                 1.4726,                0.84716,                 1.7504,             0.00068132,             0.00068132,             0.00068132
                     68,                 1.1359,                0.83111,                 1.3936,                 0.8336,                 0.7813,                0.85817,                0.50449,                 1.4961,                 0.8752,                 1.7647,             0.00066134,             0.00066134,             0.00066134
                     69,                 1.1084,                0.82107,                 1.3812,                0.82997,                0.82722,                0.87403,                0.52206,                 1.4704,                0.83661,                 1.7601,             0.00064136,             0.00064136,             0.00064136
                     70,                 1.1229,                0.81229,                 1.3862,                0.85267,                0.81346,                0.87832,                0.52918,                 1.4517,                0.84803,                 1.7596,             0.00062138,             0.00062138,             0.00062138
                     71,                 1.0928,                0.78657,                 1.3681,                0.83253,                0.79053,                0.86187,                 0.5076,                 1.4949,                 0.8921,                 1.7794,              0.0006014,              0.0006014,              0.0006014
                     72,                 1.0889,                0.78294,                 1.3672,                0.88308,                0.79969,                0.87651,                0.52414,                  1.494,                 0.8199,                   1.78,             0.00058142,             0.00058142,             0.00058142
                     73,                 1.0822,                0.78913,                 1.3604,                0.84664,                0.80122,                  0.879,                0.52684,                 1.4662,                0.81374,                 1.7466,             0.00056144,             0.00056144,             0.00056144
                     74,                  1.067,                0.77764,                 1.3549,                 0.8496,                0.81804,                0.88539,                0.52489,                 1.4875,                0.82358,                 1.7816,             0.00054146,             0.00054146,             0.00054146
                     75,                 1.0716,                0.77714,                 1.3563,                0.84834,                0.79358,                0.87542,                0.52287,                 1.4795,                0.81811,                 1.7659,             0.00052148,             0.00052148,             0.00052148
                     76,                 1.0602,                0.75566,                 1.3379,                0.82946,                0.80887,                0.85974,                  0.522,                 1.4887,                0.83501,                 1.8066,              0.0005015,              0.0005015,              0.0005015
                     77,                 1.0548,                0.74822,                 1.3371,                0.86645,                0.80355,                0.87243,                0.51642,                  1.494,                 0.7771,                 1.7896,             0.00048152,             0.00048152,             0.00048152
                     78,                 1.0564,                0.74142,                 1.3337,                0.81053,                0.84557,                0.88307,                0.53114,                 1.5058,                0.81812,                 1.8152,             0.00046154,             0.00046154,             0.00046154
                     79,                 1.0345,                0.74217,                 1.3162,                 0.8383,                0.82439,                0.87472,                0.52128,                 1.5119,                0.84978,                 1.8232,             0.00044156,             0.00044156,             0.00044156
                     80,                 1.0248,                0.71662,                 1.3163,                0.84735,                0.81479,                0.87561,                0.52606,                 1.4825,                0.79288,                 1.7863,             0.00042158,             0.00042158,             0.00042158
                     81,                 1.0298,                0.71352,                 1.3133,                0.84821,                 0.8104,                0.87972,                0.51957,                 1.4911,                0.82239,                 1.7517,              0.0004016,              0.0004016,              0.0004016
                     82,                 1.0175,                0.71794,                  1.308,                0.83379,                0.79664,                0.86196,                0.51855,                 1.5108,                0.84085,                 1.8316,             0.00038162,             0.00038162,             0.00038162
                     83,                 1.0027,                0.69955,                 1.3013,                0.86031,                0.81927,                0.88087,                0.53053,                 1.4707,                0.76528,                 1.8008,             0.00036164,             0.00036164,             0.00036164
                     84,                 1.0026,                0.70889,                 1.3094,                0.79859,                0.81241,                0.86965,                0.52519,                 1.4875,                0.82557,                 1.8079,             0.00034166,             0.00034166,             0.00034166
                     85,                 0.9916,                 0.6975,                  1.292,                0.80674,                0.85532,                0.88224,                 0.5254,                 1.4667,                0.83646,                 1.7758,             0.00032168,             0.00032168,             0.00032168
                     86,                0.97695,                0.68359,                 1.2888,                0.88578,                0.77523,                0.87301,                0.52748,                  1.497,                0.85486,                 1.8362,              0.0003017,              0.0003017,              0.0003017
                     87,                0.97342,                0.68071,                  1.279,                0.86186,                 0.8109,                0.88282,                0.52747,                 1.4788,                0.80266,                 1.7957,             0.00028172,             0.00028172,             0.00028172
                     88,                0.96817,                0.67937,                 1.2792,                0.83895,                0.82263,                0.88348,                0.52834,                 1.4868,                0.81022,                 1.8058,             0.00026174,             0.00026174,             0.00026174
                     89,                0.95343,                0.67854,                 1.2739,                0.84585,                0.82222,                 0.8784,                0.52577,                 1.5094,                 0.8142,                 1.8534,             0.00024176,             0.00024176,             0.00024176
                     90,                0.95839,                0.66474,                 1.2677,                0.84782,                0.82416,                0.87537,                0.53297,                 1.4942,                0.83291,                  1.828,             0.00022178,             0.00022178,             0.00022178
                     91,                0.94341,                0.65577,                 1.2584,                0.84184,                0.83486,                0.87589,                0.52719,                 1.5058,                0.81539,                 1.8275,              0.0002018,              0.0002018,              0.0002018
                     92,                0.91922,                0.64229,                 1.2414,                0.88759,                0.79664,                0.87663,                0.52211,                  1.501,                0.79121,                 1.8314,             0.00018182,             0.00018182,             0.00018182
                     93,                0.92721,                0.64955,                 1.2528,                0.88129,                0.78324,                0.86193,                0.52019,                 1.5092,                0.81243,                 1.8457,             0.00016184,             0.00016184,             0.00016184
                     94,                0.93141,                0.65118,                 1.2573,                0.84825,                0.81195,                0.86397,                0.52013,                 1.5086,                0.79899,                 1.8608,             0.00014186,             0.00014186,             0.00014186
                     95,                 0.9021,                0.62523,                 1.2391,                0.87067,                0.80291,                0.86493,                 0.5197,                 1.5169,                0.81812,                 1.8696,             0.00012188,             0.00012188,             0.00012188
                     96,                0.90522,                0.61791,                 1.2408,                0.87226,                0.79511,                0.86905,                0.51829,                 1.5071,                0.80669,                 1.8573,              0.0001019,              0.0001019,              0.0001019
                     97,                0.90465,                0.62189,                 1.2402,                0.86166,                0.78899,                0.86727,                0.51591,                 1.5245,                0.80907,                 1.8743,              8.192e-05,              8.192e-05,              8.192e-05
                     98,                0.89226,                0.60927,                 1.2358,                0.85548,                 0.8146,                0.87029,                0.52034,                 1.5216,                0.82686,                 1.8742,              6.194e-05,              6.194e-05,              6.194e-05
                     99,                0.88912,                0.61346,                 1.2283,                0.84598,                0.82875,                0.87227,                 0.5194,                 1.5281,                0.81953,                 1.8772,              4.196e-05,              4.196e-05,              4.196e-05
