                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.5241,                 1.4852,                 1.6938,                0.72546,                0.67071,                0.75417,                0.40469,                  1.645,                 1.2518,                 1.8541,              0.0013606,              0.0013606,              0.0013606
                     34,                 1.5182,                 1.4804,                 1.6954,                0.77824,                0.64679,                0.75527,                0.42376,                  1.546,                 1.2618,                 1.7783,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.4967,                 1.4717,                 1.6883,                0.77112,                0.72324,                0.81033,                0.44666,                 1.5253,                 1.1264,                 1.7571,              0.0013207,              0.0013207,              0.0013207
                     36,                 1.4935,                 1.4845,                  1.685,                0.77444,                0.61948,                0.71677,                0.36391,                 1.7541,                 1.4187,                  2.006,              0.0013007,              0.0013007,              0.0013007
                     37,                 1.5082,                 1.4936,                  1.692,                0.79602,                0.70795,                0.79471,                0.43798,                 1.5507,                 1.1679,                 1.8079,              0.0012807,              0.0012807,              0.0012807
                     38,                 1.4915,                 1.4436,                 1.6722,                0.78131,                0.78746,                0.85076,                0.47862,                 1.5591,                  1.036,                 1.7653,              0.0012607,              0.0012607,              0.0012607
                     39,                  1.489,                 1.4328,                 1.6736,                0.80372,                0.72018,                0.81907,                0.46143,                 1.5504,                 1.0297,                 1.7867,              0.0012408,              0.0012408,              0.0012408
                     40,                 1.4967,                 1.4467,                 1.6798,                0.82029,                0.78866,                0.86579,                0.49284,                 1.4756,                  1.024,                 1.7001,              0.0012208,              0.0012208,              0.0012208
                     41,                 1.4726,                 1.4138,                  1.664,                0.82973,                0.75994,                0.85372,                0.49816,                 1.4689,                0.96836,                 1.6988,              0.0012008,              0.0012008,              0.0012008
                     42,                 1.5011,                 1.4226,                 1.6696,                0.83111,                0.76749,                 0.8504,                0.47656,                 1.5135,                0.99848,                 1.7552,              0.0011808,              0.0011808,              0.0011808
                     43,                 1.4713,                 1.4059,                 1.6538,                 0.8085,                0.75529,                0.84169,                0.47707,                 1.4635,                 1.0677,                 1.6986,              0.0011608,              0.0011608,              0.0011608
                     44,                 1.4697,                 1.4127,                 1.6521,                0.81041,                0.73859,                  0.833,                0.46473,                 1.5567,                 1.0532,                 1.7798,              0.0011409,              0.0011409,              0.0011409
                     45,                 1.4616,                 1.3916,                 1.6446,                 0.7906,                 0.7678,                0.83693,                0.48229,                 1.4746,                 1.0268,                 1.6938,              0.0011209,              0.0011209,              0.0011209
                     46,                 1.4566,                 1.3902,                 1.6371,                0.79566,                0.74421,                0.82986,                 0.4969,                 1.4616,                 1.0489,                 1.6881,              0.0011009,              0.0011009,              0.0011009
                     47,                  1.451,                  1.376,                 1.6276,                0.86709,                0.76811,                0.86697,                0.50647,                 1.4526,                0.94187,                 1.6868,              0.0010809,              0.0010809,              0.0010809
                     48,                 1.4488,                 1.3734,                 1.6355,                 0.8115,                0.79649,                0.86926,                0.51399,                 1.4403,                 0.9584,                 1.6612,              0.0010609,              0.0010609,              0.0010609
