                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8252,                 2.2717,                  2.033,                0.06207,                0.06881,                0.02697,                0.00709,                 2.6437,                 78.219,                 4.1796,             0.00066253,             0.00066253,             0.00066253
                      1,                  2.022,                 2.4043,                 2.1679,                0.13327,                0.16208,                 0.0659,                0.01736,                 2.6562,                  10.81,                 3.2146,               0.001316,               0.001316,               0.001316
                      2,                 1.9296,                 2.2303,                 2.0635,                0.29012,                0.36544,                0.22393,                0.08286,                 2.1975,                 2.7807,                  2.544,              0.0019561,              0.0019561,              0.0019561
                      3,                 1.8586,                 2.1199,                 1.9881,                0.39099,                0.38991,                0.35471,                0.15728,                 2.0011,                 2.6791,                 2.2926,              0.0019403,              0.0019403,              0.0019403
                      4,                 1.7661,                  1.957,                  1.905,                0.59765,                0.45566,                0.50643,                0.21514,                 2.0418,                 2.1431,                  2.318,              0.0019403,              0.0019403,              0.0019403
                      5,                 1.7351,                 1.8993,                 1.8832,                0.59542,                0.54893,                0.58564,                0.24518,                 2.0065,                 1.7743,                 2.1991,              0.0019204,              0.0019204,              0.0019204
                      6,                 1.7121,                 1.8321,                 1.8618,                0.58629,                0.61106,                0.59014,                0.25804,                 1.8341,                 1.9227,                 2.1051,              0.0019005,              0.0019005,              0.0019005
                      7,                 1.6574,                 1.7663,                 1.8355,                0.61321,                0.59786,                0.61835,                0.28321,                 1.8379,                 1.6945,                 2.0897,              0.0018806,              0.0018806,              0.0018806
                      8,                 1.6256,                 1.6757,                 1.7923,                0.68641,                0.59575,                0.65257,                0.31219,                 1.7475,                 1.7912,                 2.0431,              0.0018607,              0.0018607,              0.0018607
                      9,                 1.6204,                 1.6688,                 1.7832,                0.69115,                0.54587,                0.63212,                0.30145,                 1.8159,                 1.7019,                 2.0644,              0.0018408,              0.0018408,              0.0018408
                     10,                 1.6181,                 1.6472,                 1.7714,                0.69316,                0.58104,                0.67121,                0.32565,                  1.751,                 1.5541,                 1.9705,              0.0018209,              0.0018209,              0.0018209
                     11,                 1.5982,                 1.5919,                 1.7558,                0.68623,                  0.622,                0.68426,                 0.3448,                 1.7109,                 1.4815,                 1.9684,               0.001801,               0.001801,               0.001801
                     12,                 1.5522,                 1.5264,                 1.7191,                 0.6987,                0.63609,                0.70241,                0.33403,                 1.7689,                 1.4785,                  2.008,              0.0017811,              0.0017811,              0.0017811
                     13,                 1.5615,                 1.5441,                 1.7332,                0.66078,                0.60856,                0.68078,                0.35959,                 1.6701,                 1.5298,                 1.9433,              0.0017612,              0.0017612,              0.0017612
                     14,                 1.5347,                 1.4801,                    1.7,                0.74565,                0.64526,                0.72654,                0.38277,                 1.6856,                  1.467,                   1.96,              0.0017413,              0.0017413,              0.0017413
                     15,                 1.5185,                 1.4562,                  1.692,                0.74892,                0.61927,                0.71469,                0.37023,                 1.6969,                 1.4896,                 1.9648,              0.0017214,              0.0017214,              0.0017214
                     16,                 1.5336,                 1.4702,                 1.7041,                0.62571,                0.65443,                0.65692,                0.34781,                 1.6804,                 1.4864,                 1.9599,              0.0017015,              0.0017015,              0.0017015
