                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99352,                0.69588,                 1.2878,                0.81457,                0.81949,                0.85819,                0.48069,                  1.598,                0.89997,                  1.889,             0.00066253,             0.00066253,             0.00066253
                      1,                 1.1033,                0.82576,                 1.3732,                0.86517,                0.76532,                0.84789,                0.48336,                 1.5856,                0.95558,                 1.8831,              0.0013159,              0.0013159,              0.0013159
                      2,                 1.1962,                0.92427,                 1.4365,                0.79912,                0.73599,                0.81503,                0.46672,                 1.5875,                 1.0057,                 1.8674,               0.001956,               0.001956,               0.001956
                      3,                 1.2601,                0.98599,                 1.4769,                0.78674,                0.75022,                0.82725,                 0.4725,                 1.5804,                 1.0205,                 1.8329,              0.0019401,              0.0019401,              0.0019401
                      4,                 1.1968,                0.92578,                 1.4288,                0.79881,                 0.7285,                0.81161,                0.44685,                 1.6033,                 1.0795,                 1.8622,              0.0019401,              0.0019401,              0.0019401
                      5,                 1.2322,                0.96078,                 1.4567,                0.84342,                  0.766,                0.81833,                0.44153,                 1.6174,                0.98486,                 1.8706,              0.0019201,              0.0019201,              0.0019201
                      6,                 1.2216,                0.93715,                 1.4462,                0.82441,                0.76453,                  0.849,                0.48582,                 1.4982,                0.95396,                 1.8041,              0.0019001,              0.0019001,              0.0019001
                      7,                 1.2273,                0.93921,                 1.4657,                0.82651,                0.72783,                0.81844,                0.44203,                 1.6428,                0.99597,                 1.9208,              0.0018801,              0.0018801,              0.0018801
                      8,                 1.1935,                0.89099,                 1.4298,                0.77868,                0.66172,                0.77509,                0.43209,                 1.5488,                    1.1,                 1.8151,              0.0018601,              0.0018601,              0.0018601
                      9,                 1.2033,                  0.925,                 1.4274,                0.79582,                0.81346,                0.85128,                0.47637,                 1.5683,                0.94275,                 1.8642,              0.0018402,              0.0018402,              0.0018402
                     10,                 1.2028,                0.93712,                 1.4382,                0.78745,                0.68545,                0.78397,                0.44048,                 1.5931,                 1.1013,                 1.8397,              0.0018202,              0.0018202,              0.0018202
                     11,                 1.2389,                0.95059,                 1.4546,                0.77883,                0.73765,                0.80842,                0.45253,                 1.6035,                 1.0042,                 1.8401,              0.0018002,              0.0018002,              0.0018002
                     12,                 1.1849,                0.89673,                 1.4268,                0.83497,                0.68349,                0.80791,                  0.454,                 1.5775,                 1.0224,                 1.8339,              0.0017802,              0.0017802,              0.0017802
                     13,                 1.1866,                0.89443,                 1.4267,                0.80448,                0.78011,                0.83743,                 0.4724,                  1.525,                0.93397,                 1.7923,              0.0017602,              0.0017602,              0.0017602
                     14,                 1.1571,                0.85792,                  1.398,                0.79224,                0.80734,                0.84742,                0.47487,                 1.5275,                0.97833,                 1.8172,              0.0017403,              0.0017403,              0.0017403
                     15,                 1.1787,                 0.8539,                 1.4165,                0.81391,                0.78244,                0.85853,                0.48946,                 1.5159,                0.91704,                 1.7862,              0.0017203,              0.0017203,              0.0017203
                     16,                 1.1657,                0.85427,                  1.407,                 0.8102,                0.77676,                0.83284,                0.45178,                 1.6693,                0.98686,                 1.9151,              0.0017003,              0.0017003,              0.0017003
                     17,                  1.156,                0.85673,                 1.4083,                0.84101,                0.77064,                0.86037,                0.49728,                 1.4977,                0.89607,                 1.7987,              0.0016803,              0.0016803,              0.0016803
                     18,                 1.1323,                0.83947,                 1.3912,                0.80856,                0.73547,                0.82517,                0.46412,                 1.5522,                0.98127,                 1.7969,              0.0016603,              0.0016603,              0.0016603
                     19,                 1.1373,                0.82284,                 1.3933,                 0.8198,                0.77911,                0.84336,                0.48793,                 1.5492,                0.92686,                 1.8414,              0.0016404,              0.0016404,              0.0016404
                     20,                 1.1281,                0.81728,                 1.3809,                0.79954,                0.72324,                0.81485,                0.45017,                 1.5591,                0.98838,                 1.8224,              0.0016204,              0.0016204,              0.0016204
                     21,                 1.1066,                0.81722,                 1.3673,                0.83938,                0.79052,                0.87001,                0.50272,                 1.5116,                0.86454,                 1.7939,              0.0016004,              0.0016004,              0.0016004
                     22,                 1.1303,                0.82695,                 1.3903,                0.81567,                0.78489,                0.85922,                0.49352,                 1.5116,                0.98484,                 1.7906,              0.0015804,              0.0015804,              0.0015804
                     23,                 1.1071,                0.79818,                  1.362,                0.84172,                0.77982,                0.85914,                 0.4843,                 1.5788,                0.93735,                  1.873,              0.0015604,              0.0015604,              0.0015604
                     24,                 1.1053,                0.80757,                 1.3708,                0.86494,                0.78746,                0.88011,                0.52397,                 1.4817,                0.89402,                  1.769,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.0764,                 0.7903,                 1.3491,                0.83662,                 0.7737,                0.84604,                   0.49,                 1.5553,                0.90967,                 1.8352,              0.0015205,              0.0015205,              0.0015205
                     26,                 1.1053,                0.77743,                 1.3673,                0.79908,                0.78446,                0.83983,                 0.4974,                 1.5304,                0.93297,                 1.8186,              0.0015005,              0.0015005,              0.0015005
                     27,                 1.0999,                0.79052,                 1.3578,                0.83795,                0.82263,                0.87146,                0.49735,                 1.5598,                0.89405,                 1.8619,              0.0014805,              0.0014805,              0.0014805
                     28,                 1.0839,                0.79197,                 1.3476,                0.82769,                0.81957,                0.87564,                0.50686,                 1.5228,                0.87032,                 1.8213,              0.0014605,              0.0014605,              0.0014605
                     29,                 1.0686,                 0.7654,                 1.3463,                0.82575,                0.76911,                0.84498,                0.48923,                 1.5363,                0.86106,                 1.8169,              0.0014406,              0.0014406,              0.0014406
                     30,                 1.0576,                0.76536,                 1.3387,                0.84906,                 0.7737,                0.86306,                0.49162,                 1.5144,                0.86795,                 1.8207,              0.0014206,              0.0014206,              0.0014206
                     31,                 1.0336,                0.74089,                 1.3276,                0.88527,                 0.7737,                0.86244,                0.49512,                 1.5379,                0.84693,                 1.8239,              0.0014006,              0.0014006,              0.0014006
                     32,                 1.0421,                0.73467,                 1.3237,                0.82037,                 0.7472,                0.85062,                0.49635,                 1.5131,                0.89386,                 1.8298,              0.0013806,              0.0013806,              0.0013806
                     33,                 1.0343,                0.73565,                 1.3225,                0.84177,                0.78899,                0.86656,                  0.493,                 1.5161,                0.87409,                  1.854,              0.0013606,              0.0013606,              0.0013606
                     34,                 1.0309,                0.73393,                 1.3172,                0.80106,                0.76345,                0.80914,                0.46277,                 1.5881,                0.98453,                 1.9668,              0.0013407,              0.0013407,              0.0013407
                     35,                 1.0252,                0.72528,                 1.3134,                0.84952,                0.80581,                0.86099,                0.49752,                 1.5259,                0.82436,                 1.8306,              0.0013207,              0.0013207,              0.0013207
                     36,                0.99871,                0.70475,                 1.2969,                0.83643,                 0.8104,                0.86019,                0.50499,                 1.5427,                0.85225,                 1.8566,              0.0013007,              0.0013007,              0.0013007
                     37,                 1.0034,                0.70598,                  1.296,                0.85116,                0.76073,                0.85681,                0.49377,                 1.5314,                0.87456,                  1.846,              0.0012807,              0.0012807,              0.0012807
                     38,                 1.0064,                0.71161,                 1.2991,                0.85356,                0.79052,                0.86067,                0.50295,                 1.5686,                0.86348,                  1.877,              0.0012607,              0.0012607,              0.0012607
                     39,                 1.0141,                0.69604,                  1.304,                0.82507,                 0.7933,                0.86692,                0.50297,                 1.5259,                0.86118,                 1.8304,              0.0012408,              0.0012408,              0.0012408
                     40,                0.98619,                0.68373,                 1.2865,                0.85477,                0.78294,                0.86178,                0.49383,                 1.5416,                0.83875,                 1.8825,              0.0012208,              0.0012208,              0.0012208
                     41,                0.96352,                0.67569,                 1.2686,                0.86894,                0.77044,                0.86533,                 0.5004,                 1.5519,                0.85054,                 1.8922,              0.0012008,              0.0012008,              0.0012008
                     42,                0.97438,                0.67618,                 1.2805,                0.80453,                0.78746,                0.83742,                0.49311,                 1.5327,                0.87896,                 1.8949,              0.0011808,              0.0011808,              0.0011808
                     43,                0.97741,                0.67385,                 1.2827,                0.84044,                 0.7844,                0.85801,                0.48604,                 1.5923,                0.85078,                 1.9021,              0.0011608,              0.0011608,              0.0011608
                     44,                0.97159,                0.67269,                 1.2825,                0.83803,                0.81498,                0.86544,                0.50584,                 1.5697,                0.82502,                 1.8946,              0.0011409,              0.0011409,              0.0011409
                     45,                 0.9672,                0.67381,                 1.2833,                0.83199,                0.79817,                0.86234,                0.49205,                 1.5621,                0.84544,                 1.8859,              0.0011209,              0.0011209,              0.0011209
                     46,                0.97524,                0.67109,                 1.2864,                0.82115,                0.79511,                0.85401,                0.48953,                 1.5681,                0.86809,                 1.8869,              0.0011009,              0.0011009,              0.0011009
                     47,                 0.9584,                0.65029,                 1.2694,                  0.877,                0.76313,                0.86392,                0.50585,                 1.5017,                0.85254,                 1.8282,              0.0010809,              0.0010809,              0.0010809
                     48,                0.92476,                0.64235,                  1.249,                0.85126,                0.80887,                0.87528,                0.51639,                 1.5345,                0.84458,                 1.8901,              0.0010609,              0.0010609,              0.0010609
                     49,                0.94232,                0.64731,                 1.2581,                0.82745,                 0.7737,                0.84892,                0.50122,                 1.5419,                0.83011,                 1.9088,               0.001041,               0.001041,               0.001041
                     50,                0.91774,                0.63789,                 1.2442,                0.81789,                0.81804,                0.87478,                0.52023,                  1.516,                0.88189,                 1.8382,               0.001021,               0.001021,               0.001021
                     51,                0.90913,                0.63784,                 1.2369,                0.80337,                0.81212,                0.85356,                0.49428,                 1.5574,                0.83697,                 1.8966,               0.001001,               0.001001,               0.001001
